1998,-3.245,-4.998,-2.575,-1.168,1.188,1.491,1.032,0.454,-0.176,-0.569,-0.602,1.068
1999,1.972,3.254,4.404,1.075,2.165,1.281,1.026,0.554,-0.477,-0.877,-1.832,1.506
2000,2.705,2.949,4.218,4.495,2.969,1.624,1.616,0.674,0.069,0.726,-0.328,1.186
2001,0.339,2.6,0.685,3.691,0.721,1.907,1.339,0.95,0.652,-0.142,-2.069,0.09
2002,-0.113,1.838,2.109,3.792,1.415,0.789,1.518,1.847,0.08,-0.143,0.077,-1.916
2003,-3.248,0.857,-0.061,1.815,1.696,1.586,1.322,0.951,0.019,-0.528,-0.382,-0.334
2004,0.25,0.249,1.771,2.637,2.776,1.793,0.849,1.037,-1.06,-0.364,0.402,1.144
2005,1.245,2.494,-1.294,0.974,-1.467,0.587,0.334,0.595,-0.333,-1.867,-0.534,0.908
2006,3.175,0.95,1.202,2.753,0.995,0.643,1.216,0.839,0.027,-0.317,-0.82,-0.12
2007,-1.368,-1.703,1.805,0.225,1.493,0.756,1.395,0.682,0.635,-1,-0.038,1.438
2008,1.346,2.745,3.978,3.157,2.221,1.485,1.041,0.075,0.258,-0.186,-0.321,2.429
2009,0.637,1.906,5.011,4.066,2.118,1.758,1.316,0.813,1.18,0.209,-1.744,-1.708
2010,-2.751,-3.795,-3.201,1.242,1.474,0.908,0.307,0.207,-0.126,-0.454,0.734,0.944
2011,0.93,1.149,4.305,2.934,1.005,-0.019,0.699,0.351,0.09,0.196,-0.557,1.241
2012,4.156,1.775,3.646,1.621,0.319,0.187,1.252,0.705,0.867,-0.703,0.27,-0.438
2013,2.213,-0.146,0.22,2.376,1.293,1.078,0.901,0.991,0.303,-0.472,-0.556,0.714
2014,-0.107,0.325,-0.042,1.46,0.463,2.138,1.808,0.883,0.882,-0.367,-0.553,-0.633
2015,-0.049,0.21,2.214,1.018,1.764,1.423,1.755,1.5,0.34,-0.295,-0.388,-1.077
